,page,nick,area,ip,time,content,agree,rank,usertype
0,1,零816号日记本,河南商丘,223.89.242.56,2019-07-29 19:50:41,我不知道你能不能带领国家，但是你已经在影响我了。,1,1,wb
1,1,不想理你鸭,江苏南通,58.241.166.50,2019-06-26 11:44:33,为啥三年？两年免增值税,0,0,wb
2,1,托比托,河南洛阳,61.54.44.251,2019-06-26 11:24:26,幸好我不用还房贷，不然一个月2500会让我睡不着觉的。,0,0,wb
3,1,海棠猫张小宝,甘肃兰州,42.90.91.3,2019-06-26 11:22:46,我房贷每月两千五，三十年。要不你让银行把房子收走，我不买了,0,0,wb
4,1,影片道具女神水,福建福州,218.85.43.208,2019-06-23 20:22:17,脑子是个好东西，希望你也有,0,0,wb
5,1,幸福平安快乐53770,山西太原,223.12.236.50,2019-04-09 11:07:24,宝宝，冷静点啊,0,0,wb
6,1,鲍鲍BOBO新家,广东,223.104.63.98,2018-10-09 07:22:56,上一辈，努力挣钱买房是上一辈的事 下一辈不积谷防饥，是下一辈的事 只要下一辈不厚着脸皮问上一辈要婚房结婚，不理所当然认为房子是父母该送给你们的，就可以了,0,0,wb
7,1,严家可爱豆,江西南昌,59.63.206.200,2018-08-28 22:05:46,哈哈,0,0,wb
8,1,顾小慢Catherine,重庆,123.147.248.51,2018-08-28 19:23:37,爸爸妈妈买房，说啃老。自己不买房，说没上进心。不生娃，说是自私。那是因为大部分90后的我们真的不富裕，没法一下子拿出几十百万买房子。这也会被说，为什么不努力工作？[皱眉]要我们怎样？,10,10,wb
9,1,顾小慢Catherine,重庆,123.147.248.51,2018-08-28 19:23:25,80后买不起房，90后不想买房。 连交通信息卡都发的信用卡，现在又怪我们借贷过度，没有辛苦攒钱？ 我们努力工作，熬成秃头，辛辛苦苦赚钱想用用智能机，想旅旅游，也错了？不想辛辛苦苦攒钱还房贷，也错了？,8,8,wb
10,2,依然是个黄油君,四川雅安,218.6.135.167,2018-08-26 15:33:55,十年前的媒体：当60岁的中国人终于攒到够钱买了个房子时，60岁的美国人则还清了住了30年房子的贷款。中国人只知道勤劳苦干的挣钱，而美国人则享受了幸福的一生。 现在的媒体：你们这些贷款的年轻人，正带领国家走向危机。 中国年轻人：？？？,13,13,pc
11,2,bitzhyu,江苏南京,49.77.231.17,2018-08-26 00:58:18,从11年借到18年，说的不就是我嘛[doge],0,0,wb
12,2,Grazy木,广东东莞,223.104.63.230,2018-08-23 18:01:37,哦。[摊手][摊手][摊手],0,0,wb
13,2,熊叔看过来,北京,114.246.128.70,2018-08-23 01:52:25,买不起房还不让我喝星巴克？[doge],4,4,wb
14,2,_S_酒红,浙江,112.17.239.4,2018-08-20 22:34:49,人在家中坐，锅从天上来,1,1,wb
15,2,绾起梨花月99,广西贵港,117.181.90.157,2018-08-14 21:29:01,我喝不起星巴克也买不起房[跪了][摊手][摊手][摊手][摊手],0,0,wb
16,2,莱薇酱,北京,106.120.232.253,2018-08-14 21:16:23,国家不是在愁人民消费不够么？？？？？？只允许买房买车和吃饭，不允许我们买手机？,1,1,wb
17,2,点爱22306,江西南昌,118.212.208.29,2018-08-14 16:28:52,挣得多当然不用借，可现实呢,0,0,wb
