,ip,agree,nick,content,usertype,time,page,area
0,223.89.242.56,1,零816号日记本,我不知道你能不能带领国家，但是你已经在影响我了。,wb,2019-07-29 19:50:41,1,河南商丘
1,58.241.166.50,0,不想理你鸭,为啥三年？两年免增值税,wb,2019-06-26 11:44:33,1,江苏南通
2,61.54.44.251,0,托比托,幸好我不用还房贷，不然一个月2500会让我睡不着觉的。,wb,2019-06-26 11:24:26,1,河南洛阳
3,42.90.91.3,0,海棠猫张小宝,我房贷每月两千五，三十年。要不你让银行把房子收走，我不买了,wb,2019-06-26 11:22:46,1,甘肃兰州
4,218.85.43.208,0,影片道具女神水,脑子是个好东西，希望你也有,wb,2019-06-23 20:22:17,1,福建福州
5,223.12.236.50,0,幸福平安快乐53770,宝宝，冷静点啊,wb,2019-04-09 11:07:24,1,山西太原
6,223.104.63.98,0,鲍鲍BOBO新家,上一辈，努力挣钱买房是上一辈的事 下一辈不积谷防饥，是下一辈的事 只要下一辈不厚着脸皮问上一辈要婚房结婚，不理所当然认为房子是父母该送给你们的，就可以了,wb,2018-10-09 07:22:56,1,广东
7,59.63.206.200,0,严家可爱豆,哈哈,wb,2018-08-28 22:05:46,1,江西南昌
8,123.147.248.51,10,顾小慢Catherine,爸爸妈妈买房，说啃老。自己不买房，说没上进心。不生娃，说是自私。那是因为大部分90后的我们真的不富裕，没法一下子拿出几十百万买房子。这也会被说，为什么不努力工作？[皱眉]要我们怎样？,wb,2018-08-28 19:23:37,1,重庆
9,123.147.248.51,8,顾小慢Catherine,80后买不起房，90后不想买房。 连交通信息卡都发的信用卡，现在又怪我们借贷过度，没有辛苦攒钱？ 我们努力工作，熬成秃头，辛辛苦苦赚钱想用用智能机，想旅旅游，也错了？不想辛辛苦苦攒钱还房贷，也错了？,wb,2018-08-28 19:23:25,1,重庆
10,218.6.135.167,13,依然是个黄油君,十年前的媒体：当60岁的中国人终于攒到够钱买了个房子时，60岁的美国人则还清了住了30年房子的贷款。中国人只知道勤劳苦干的挣钱，而美国人则享受了幸福的一生。 现在的媒体：你们这些贷款的年轻人，正带领国家走向危机。 中国年轻人：？？？,pc,2018-08-26 15:33:55,2,四川雅安
11,49.77.231.17,0,bitzhyu,从11年借到18年，说的不就是我嘛[doge],wb,2018-08-26 00:58:18,2,江苏南京
12,223.104.63.230,0,Grazy木,哦。[摊手][摊手][摊手],wb,2018-08-23 18:01:37,2,广东东莞
13,114.246.128.70,4,熊叔看过来,买不起房还不让我喝星巴克？[doge],wb,2018-08-23 01:52:25,2,北京
