,page,nick,area,ip,time,content,agree,usertype
0,1,零816号日记本,河南商丘,223.89.242.56,2019-07-29 19:50:41,我不知道你能不能带领国家，但是你已经在影响我了。,1,wb
1,1,不想理你鸭,江苏南通,58.241.166.50,2019-06-26 11:44:33,为啥三年？两年免增值税,0,wb
2,1,托比托,河南洛阳,61.54.44.251,2019-06-26 11:24:26,幸好我不用还房贷，不然一个月2500会让我睡不着觉的。,0,wb
3,1,海棠猫张小宝,甘肃兰州,42.90.91.3,2019-06-26 11:22:46,我房贷每月两千五，三十年。要不你让银行把房子收走，我不买了,0,wb
4,1,影片道具女神水,福建福州,218.85.43.208,2019-06-23 20:22:17,脑子是个好东西，希望你也有,0,wb
5,1,幸福平安快乐53770,山西太原,223.12.236.50,2019-04-09 11:07:24,宝宝，冷静点啊,0,wb
6,1,鲍鲍BOBO新家,广东,223.104.63.98,2018-10-09 07:22:56,上一辈，努力挣钱买房是上一辈的事 下一辈不积谷防饥，是下一辈的事 只要下一辈不厚着脸皮问上一辈要婚房结婚，不理所当然认为房子是父母该送给你们的，就可以了,0,wb
7,1,严家可爱豆,江西南昌,59.63.206.200,2018-08-28 22:05:46,哈哈,0,wb
8,1,顾小慢Catherine,重庆,123.147.248.51,2018-08-28 19:23:37,爸爸妈妈买房，说啃老。自己不买房，说没上进心。不生娃，说是自私。那是因为大部分90后的我们真的不富裕，没法一下子拿出几十百万买房子。这也会被说，为什么不努力工作？[皱眉]要我们怎样？,10,wb
9,1,顾小慢Catherine,重庆,123.147.248.51,2018-08-28 19:23:25,80后买不起房，90后不想买房。 连交通信息卡都发的信用卡，现在又怪我们借贷过度，没有辛苦攒钱？ 我们努力工作，熬成秃头，辛辛苦苦赚钱想用用智能机，想旅旅游，也错了？不想辛辛苦苦攒钱还房贷，也错了？,8,wb
10,2,依然是个黄油君,四川雅安,218.6.135.167,2018-08-26 15:33:55,十年前的媒体：当60岁的中国人终于攒到够钱买了个房子时，60岁的美国人则还清了住了30年房子的贷款。中国人只知道勤劳苦干的挣钱，而美国人则享受了幸福的一生。 现在的媒体：你们这些贷款的年轻人，正带领国家走向危机。 中国年轻人：？？？,13,pc
11,2,bitzhyu,江苏南京,49.77.231.17,2018-08-26 00:58:18,从11年借到18年，说的不就是我嘛[doge],0,wb
12,2,Grazy木,广东东莞,223.104.63.230,2018-08-23 18:01:37,哦。[摊手][摊手][摊手],0,wb
13,2,熊叔看过来,北京,114.246.128.70,2018-08-23 01:52:25,买不起房还不让我喝星巴克？[doge],4,wb
14,2,_S_酒红,浙江,112.17.239.4,2018-08-20 22:34:49,人在家中坐，锅从天上来,1,wb
15,2,绾起梨花月99,广西贵港,117.181.90.157,2018-08-14 21:29:01,我喝不起星巴克也买不起房[跪了][摊手][摊手][摊手][摊手],0,wb
16,2,莱薇酱,北京,106.120.232.253,2018-08-14 21:16:23,国家不是在愁人民消费不够么？？？？？？只允许买房买车和吃饭，不允许我们买手机？,1,wb
17,2,点爱22306,江西南昌,118.212.208.29,2018-08-14 16:28:52,挣得多当然不用借，可现实呢,0,wb
18,2,is_话梅糖,内蒙古呼和浩特,220.195.66.87,2018-08-14 10:58:19,债务都是次月就还清了，能让年轻人背上巨债的唯有买房了吧，所以买房是不可能了，最大的心愿是和爱的人走遍世间美好的地方,1,wb
19,2,斌斌有李有斌斌,北京,223.104.3.203,2018-08-14 10:36:52,对呀  那就别生了,1,wb
20,3,吾耳音,江苏徐州,122.194.162.147,2018-08-14 10:11:21,已举报,3,wb
21,3,曲苑杂坛1,河北沧州,221.195.44.187,2018-08-14 08:13:58,买房才是好吗，根本无力偿还[doge],0,wb
22,3,人-生-如-剧,河南濮阳,123.101.124.113,2018-08-14 08:12:21,大家不要一提起借贷就想到买房，更严重的问题是，现在很多人借贷买奢侈品，借贷过比自己工资高几个档次的生活，我身边就很多，他们通常会觉得钱不够花是因为物价太高，但是物价再低的地方LV 也不会太便宜的，多落后的地方也会有高档餐厅的。,1,wb
23,3,为你而明,安徽亳州,36.4.239.179,2018-08-14 07:30:05,"不能以偏概全哪。毕竟是少数，大多数都在积极向上！中国的""有钱人""多，那也是父母造就的，省吃俭用供孩子，做牛做马！我还是觉得年轻人应该早点独立，！",1,wb
24,3,暗夜下的咏叹,江西南昌,223.104.170.179,2018-08-13 21:26:09,这锅不背,0,wb
25,3,我一个人盼望着我们仨,浙江台州,113.214.212.78,2018-08-13 21:19:01,放你娘的屁，我看到的都是一帮朝气蓬勃的年轻人,3,wb
26,3,邪魅BYLHX,甘肃白银,60.165.77.79,2018-08-13 20:45:25,没办法啊，辛辛苦苦攒点钱都给骗光了，以后转换观念，借着吃吧,2,wb
27,3,恰似那场青春-Lxp,河南开封,61.158.148.67,2018-08-13 18:35:02,你看，我就不买新款智能手机，星巴克，大牌衣服。。[摊手],0,wb
